a52dec 0.7.4-11
ncdu 1.15.1-1
ncurses 6.2-1
ndctl 69-1
nemo 4.6.5-1
neofetch 7.1.0-1
neovim 0.4.4-1
netpbm 10.73.32-1
nettle 3.6-1
networkmanager 1.26.0-1
nilfs-utils 2.2.8-2
ninja 1.10.0-1
nitrogen 1.6.1-3
nm-connection-editor 1.18.0-1
nmap 7.80-3
nodejs 14.8.0-1
noto-fonts 20190926-4
noto-fonts-emoji 20200720-1
npth 1.6-2
nspr 4.27-1
nss 3.55-2
ntfs-3g 2017.3.23-4
numactl 2.0.13-3
nvidia-dkms 450.57-2
nvidia-settings 450.57-1
nvidia-utils 450.57-2
obs-studio 25.0.8-2
openal 1.20.1-2
openbsd-netcat 1.206_1-1
opencore-amr 0.1.5-4
openjpeg2 2.3.1-2
openmpi 4.0.4-1
openssh 8.3p1-3
openssl 1.1.1.g-2
opera-ffmpeg-codecs 84.0.4147.105-1
opus 1.3.1-2
orc 0.4.31-2
os-prober 1.77-2
osinfo-db 20200529-1
p11-kit 0.23.20-5
p7zip 16.02-6
pacman 5.2.2-1
pacman-contrib 1.4.0-1
pacman-mirrorlist 20200801-1
pahole 1.17-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
parted 3.3-2
patch 2.7.6-8
patchutils 0.3.4-4
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
perl 5.32.0-1
perl-error 0.17029-2
perl-libintl-perl 1.31-5
perl-mailtools 2.21-4
perl-timedate 2.33-2
pfetch-git r346.28937a4-1
phodav 2.4-1
picom-ibhagwan-git 1383_Next.102.g44b4970_2020.08.03-1
pinentry 1.1.0-5
piper 0.5.1-1
pipewire 0.3.7-1
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.117-1
polkit-qt5 0.113.0-2
polybar 3.4.3-2
poppler 0.90.1-1
popt 1.18-1
portsmf 234-2
procps-ng 3.3.16-2
psmisc 23.3-2
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 13.0-3
putty 0.74-1
pygobject-devel 3.36.1-1
python 3.8.5-1
python-appdirs 1.4.4-1
python-babel 2.8.0-4
python-beautifulsoup4 4.9.1-1
python-cachecontrol 0.12.6-1
python-cairo 1.19.1-1
python-chardet 3.0.4-5
python-colorama 0.4.3-1
python-coloredlogs 14.0-1
python-contextlib2 0.6.0.post1-1
python-distlib 0.3.1-1
python-distro 1.5.0-1
python-docutils 0.16-1
python-entrypoints 0.3-3
python-evdev 1.3.0-1
python-gobject 3.36.1-1
python-html5lib 1.1-1
python-humanfriendly 8.2-1
python-idna 2.10-1
python-imagesize 1.2.0-1
python-jinja 2.11.2-1
python-logzero 1.5.0-2
python-lxml 4.5.2-1
python-lyricwikia 0.1.11-1
python-markupsafe 1.1.1-4
python-mccabe 0.6.1-5
python-msgpack 1.0.0-1
python-mutagen 1.45.1-1
python-ordered-set 4.0.2-1
python-packaging 20.4-1
python-pafy 0.5.5-1
python-pathlib 1.0.1-1
python-pep517 0.8.2-1
python-pip 20.1.1-1
python-ply 3.11-5
python-progress 1.5-3
python-pycodestyle 2.6.0-1
python-pyflakes 2.2.0-1
python-pygments 2.6.1-3
python-pyparsing 2.4.7-1
python-pytube 9.6.4-3
python-pytz 2020.1-1
python-requests 2.24.0-1
python-resolvelib 0.4.0-1
python-retrying 1.3.3-7
python-setuptools 1:49.2.1-1
python-six 1.15.0-1
python-snowballstemmer 2.0.0-3
python-soupsieve 2.0.1-1
python-sphinx 3.2.0-1
python-sphinx-alabaster-theme 0.7.12-3
python-sphinx_rtd_theme 0.5.0-1
python-sphinxcontrib-applehelp 1.0.2-1
python-sphinxcontrib-devhelp 1.0.2-1
python-sphinxcontrib-htmlhelp 1.0.3-1
python-sphinxcontrib-jsmath 1.0.1-4
python-sphinxcontrib-qthelp 1.0.3-1
python-sphinxcontrib-serializinghtml 1.1.4-1
python-spotdl 2.2.2-2
python-spotipy 2.13.0-1
python-titlecase 0.13.1-1
python-toml 0.10.1-1
python-tqdm 4.48.2-1
python-typing_extensions 3.7.4.3-1
python-unicode-slugify 0.1.3-1
python-unidecode 1.1.1-4
python-urllib3 1.25.10-1
python-webencodings 0.5.1-4
python-yaml 5.3.1-2
python2 2.7.18-1
python2-appdirs 1.4.4-1
python2-ordered-set 3.1.1-3
python2-packaging 20.4-1
python2-pyparsing 2.4.7-1
python2-setuptools 2:44.1.1-1
python2-six 1.15.0-1
qemu 5.0.0-8
qpdf 10.0.1-1
qt5-base 5.15.0-4
qt5-declarative 5.15.0-1
qt5-multimedia 5.15.0-1
qt5-speech 5.15.0-1
qt5-svg 5.15.0-1
qt5-x11extras 5.15.0-1
ranger 1.9.3-2
rav1e 0.3.3-1
re2 1:20200801-1
readline 8.0.004-1
reflector 2020.3.21.2-1
reiserfsprogs 3.6.27-3
remmina 1:1.4.7-1
rest 0.8.1-3
rhash 1.3.9-2
ripgrep 12.1.1-1
rofi 1.5.4-2
rsync 3.2.3-1
rtkit 0.13-1
ruby 2.7.1-2
ruby-diff-lcs 1.4.4-1
ruby-irb 1.2.4-1
ruby-manpages 0.6.1-3
ruby-optimist 3.0.0-2
ruby-paint 2.1.0-2
ruby-rainbow 3.0.0-5
ruby-rdoc 6.2.0-2
ruby-reline 0.1.4-1
ruby-rspec 3.8.0-3
ruby-rspec-core 3.8.0-3
ruby-rspec-expectations 3.8.1-3
ruby-rspec-mocks 3.8.0-3
ruby-rspec-support 3.8.0-3
ruby-term-ansicolor 1.7.1-1
ruby-tins 1.16.3-3
rubygems 3.1.4-1
run-parts 4.8.6.1-2
sbc 1.4-2
schedtool 1.3.0-7
sdl 1.2.15-14
sdl2 2.0.12-2
sdl_ttf 2.0.11-6
seabios 1.13.0-2
sed 4.8-1
serd 0.30.4-1
shaderc 2020.0-1
shadow 4.8.1-3
shared-mime-info 2.0+1+g6bf9e4f-2
slang 2.3.2-2
sleuthkit 4.9.0-1
snapper 0.8.12-1
snappy 1.1.8-1
solid 5.73.0-1
sonnet 5.73.0-1
sord 0.16.4-1
sound-theme-freedesktop 0.8-4
soundtouch 2.1.2-2
speedtest-cli 2.1.2-2
speex 1.2.0-3
speexdsp 1.2.0-2
spice 0.14.3-2
spice-gtk 0.38-1
spirv-tools 2020.2-1
sqlite 3.32.3-1
squashfs-tools 4.4-2
sratom 0.6.4-1
srt 1.4.1-2
